15 6536 21939
0 0 -0.0554678 0.0138666
1 0 -0.0338171 -0.0215421
0 1 0.292811 -0.0582642
1 1 0.308911 -0.0892118
0 2 0.31668 -0.10146
1 2 0.332698 -0.132238
0 3 0.236714 0.211288
1 3 0.247989 0.1716
0 4 0.283666 0.032516
1 4 0.296226 -0.00500778
0 5 -0.0705296 -0.00928088
1 5 -0.0478407 -0.047466
0 4 0.283918 0.032451
0 6 0.165493 0.142468
1 6 0.173764 0.0895874
0 7 0.237309 0.0561491
1 7 0.250136 0.016181
0 8 0.294382 -0.0257938
1 8 0.308857 -0.0589252
0 9 -0.0685927 -0.0079347
1 9 -0.0471611 -0.0469803
0 7 0.23834 0.0547116
0 9 -0.0707867 -0.0084011
0 10 0.249779 0.138414
1 10 0.259842 0.0902487
0 11 0.318979 -0.0684172
1 11 0.334601 -0.0997891
0 12 -0.125004 -0.039939
1 12 -0.101703 -0.0835915
0 13 0.306296 -0.066171
1 13 0.32145 -0.0974519
0 14 0.0588236 0.170288
1 14 0.070031 0.115763
0 15 0.275065 -0.0678504
1 15 0.290437 -0.0970103
0 16 0.172832 0.000153041
1 16 0.188403 -0.0325356
0 17 0.273512 -0.0688741
1 17 0.290048 -0.0987233
0 18 0.151291 -0.0728225
1 18 0.167228 -0.109564
0 19 -0.0944422 0.185933
1 19 -0.0848755 0.102051
0 20 0.215824 0.173227
1 20 0.225358 0.125789
0 21 -0.00248678 0.0980524
1 21 0.0097142 0.0374751
0 22 -0.0711301 0.0229986
1 22 -0.049475 -0.0153632
0 23 -0.0650832 0.160571
1 23 -0.0465207 0.116264
0 24 0.151882 -0.0780033
1 24 0.168795 -0.114197
0 23 -0.0647842 0.160919
0 25 0.403948 0.26872
1 25 0.407345 0.216071
0 26 -0.0518516 0.00708838
1 26 -0.0289255 -0.0279471
0 27 0.276619 0.0732142
1 27 0.28974 0.033991
0 28 0.165231 0.153469
1 28 0.173746 0.100168
0 29 0.012683 0.156568
1 29 0.0251424 0.10247
0 30 0.317219 -0.0461304
1 30 0.331685 -0.0787811
0 31 -0.0917674 -0.00430871
1 31 -0.0695143 -0.0446609
0 32 0.0511272 0.163552
1 32 0.0622983 0.108729
0 33 0.327199 -0.0247925
1 33 0.340699 -0.0602152
0 30 0.316629 -0.047357
0 34 -0.0806033 -0.00233158
1 34 -0.0583716 -0.0408424
0 35 0.297715 0.0919514
1 35 0.30974 0.053029
0 36 0.19375 0.120735
1 36 0.201545 0.0694552
0 31 -0.0928241 -0.00494805
0 37 0.208543 0.195658
1 37 0.21878 0.148978
0 38 -0.114062 -0.0396804
1 38 -0.0914139 -0.0838604
0 39 0.165818 -0.109347
1 39 0.181918 -0.14353
0 40 -0.0993282 0.0882266
1 40 -0.0843658 0.0151848
0 41 0.254891 0.0135902
1 41 0.27079 -0.0182314
0 42 0.379894 0.267745
1 42 0.384682 0.216684
0 43 0.401011 0.264405
1 43 0.404201 0.212265
0 44 0.215472 0.209502
1 44 0.225008 0.163936
0 45 0.25481 0.171341
1 45 0.26633 0.129268
0 46 0.187074 0.121954
1 46 0.197248 0.0713142
0 47 0.143986 -0.110826
1 47 0.160006 -0.145774
0 45 0.254074 0.171504
0 48 0.0563435 0.15436
1 48 0.0683646 0.100282
0 49 0.0900744 -0.0970417
1 49 0.106939 -0.137941
0 50 -0.21815 -0.255953
1 50 -0.188621 -0.30253
0 51 -0.0297232 0.107651
1 51 -0.0145456 0.0560578
0 52 0.41385 0.269287
1 52 0.417139 0.216448
0 53 0.157738 0.199728
1 53 0.169234 0.148655
0 54 0.399851 0.262908
1 54 0.403089 0.21089
0 55 -0.188317 -0.070711
1 55 -0.161185 -0.113508
0 24 0.152009 -0.0774313
0 56 0.0575578 0.153634
1 56 0.0691911 0.0988379
0 57 0.172431 0.107879
1 57 0.184886 0.0609956
0 58 0.246316 0.2061
1 58 0.25834 0.166304
0 53 0.159212 0.199199
0 59 -0.0491634 0.130953
1 59 -0.0335355 0.0782223
0 60 0.219291 0.125588
1 60 0.226826 0.0745222
0 61 0.264251 0.163844
1 61 0.275878 0.122928
0 62 0.0445506 0.133944
1 62 0.0562431 0.0801431
0 47 0.14428 -0.110246
0 63 0.246016 -0.0527436
1 63 0.263357 -0.0806646
0 64 0.0642179 0.137753
1 64 0.075175 0.0839593
0 65 0.247516 -0.0512021
1 65 0.264875 -0.0790522
0 66 0.315926 -0.0559613
1 66 0.330942 -0.0881324
0 67 -0.214223 -0.0686303
1 67 -0.186914 -0.111668
0 68 0.189241 0.11772
1 68 0.199703 0.069598
0 69 0.244046 0.191256
1 69 0.255545 0.151425
0 70 -0.0323048 0.102683
1 70 -0.0167739 0.0508887
0 71 0.278531 0.0884619
1 71 0.290851 0.0477835
0 60 0.216888 0.123066
0 72 0.39077 0.260962
1 72 0.395997 0.208371
0 73 -0.0498329 0.0187125
1 73 -0.0284552 -0.0163256
0 67 -0.21471 -0.0684289
0 74 -0.324229 -0.358221
1 74 -0.286384 -0.402358
0 75 0.266753 0.134832
1 75 0.277191 0.0880226
0 76 0.0543666 0.144092
1 76 0.0654981 0.0896994
0 77 0.0905136 -0.102424
1 77 0.107144 -0.143429
0 78 -0.0887305 -0.0261958
1 78 -0.0662919 -0.0683285
0 79 0.20626 0.207673
1 79 0.215889 0.161732
0 80 0.265989 0.0499179
1 80 0.279865 0.0121713
0 81 0.151851 -0.0998906
1 81 0.169271 -0.134226
0 82 -0.237721 -0.27591
1 82 -0.206478 -0.321986
0 83 0.0579618 0.221825
1 83 0.0696116 0.170994
0 84 0.305006 -0.0568852
1 84 0.321184 -0.0881298
0 85 0.0121117 0.149593
1 85 0.0249368 0.0951113
0 86 -0.190884 -0.225795
1 86 -0.163222 -0.272935
0 87 0.315266 -0.0133557
1 87 0.328851 -0.050636
0 88 -0.108992 -0.0269764
1 88 -0.0873077 -0.0725573
0 88 -0.108833 -0.0265621
0 89 -0.0668926 0.0254756
1 89 -0.0464388 -0.019529
0 78 -0.0884926 -0.025857
0 90 0.216159 0.242839
1 90 0.22908 0.204058
0 80 0.266676 0.0524845
0 91 0.0233687 -0.210296
1 91 0.0406219 -0.25343
0 83 0.0579039 0.221886
0 92 0.329266 -0.0358163
1 92 0.343216 -0.0702493
0 80 0.265678 0.0497009
0 93 -0.0272629 0.111768
1 93 -0.0122732 0.0596888
0 94 0.0544994 0.144363
1 94 0.0658121 0.0898689
0 95 -0.0648446 0.013299
1 95 -0.0428888 -0.0231878
0 96 0.21978 0.202453
1 96 0.229543 0.155079
0 97 0.164702 0.11234
1 97 0.174132 0.060322
0 98 0.092127 0.136669
1 98 0.103134 0.0837778
0 99 0.228601 0.163537
1 99 0.239404 0.118419
0 100 0.139834 0.247928
1 100 0.139104 0.169065
0 101 -0.256353 -0.295325
1 101 -0.223819 -0.34141
0 102 0.265432 0.0431316
1 102 0.279863 0.00876094
0 103 0.0730155 0.0405719
1 103 0.0876547 -0.00558213
0 104 0.265153 -0.0582024
1 104 0.281242 -0.0885887
0 98 0.0900796 0.136518
0 105 -0.0161482 0.11283
1 105 0.000438792 0.0616806
0 106 -0.21301 -0.267645
1 106 -0.183485 -0.312566
0 107 0.299914 -0.053815
1 107 0.313365 -0.0865837
0 108 0.206851 0.276915
1 108 0.219545 0.239239
0 109 0.284907 -0.0659586
1 109 0.300989 -0.0968511
0 110 0.319359 0.12805
1 110 0.326087 0.0784582
0 111 -0.0277153 0.241805
1 111 -0.0100856 0.200719
0 112 -0.199569 -0.05445
