9 2638 9849
0 0 0.0460158 -0.367847
1 0 0.166607 -0.380601
0 1 0.110167 -0.334417
1 1 0.270597 -0.346835
0 2 0.112164 -0.315559
1 2 0.296754 -0.327238
0 3 0.128308 -0.297481
1 3 0.312914 -0.307779
0 4 0.0528728 -0.294919
1 4 0.229982 -0.305617
0 5 0.11625 -0.293503
1 5 0.301073 -0.304296
0 6 0.064129 -0.291299
1 6 0.243461 -0.301929
0 7 0.069386 -0.284617
1 7 0.249002 -0.294661
0 8 0.134052 -0.284002
1 8 0.320497 -0.296719
0 9 0.0992711 -0.274941
1 9 0.279097 -0.285675
0 10 0.0676964 -0.265034
1 10 0.242169 -0.276141
0 11 0.12185 -0.256735
1 11 0.305003 -0.267278
0 12 0.0501644 -0.239971
1 12 0.223129 -0.250184
0 13 0.0732962 -0.216977
1 13 0.250405 -0.226454
0 14 0.0145385 -0.214279
1 14 0.185172 -0.223467
0 15 -0.0427614 -0.213356
1 15 0.129715 -0.221349
0 16 0.0530691 -0.206912
1 16 0.224828 -0.217913
0 17 0.148388 -0.207355
1 17 0.326056 -0.217621
0 18 0.142161 -0.202037
1 18 0.320403 -0.211787
0 19 -0.0212428 -0.201489
1 19 0.149072 -0.212069
0 20 0.0954661 -0.199546
1 20 0.276963 -0.20889
0 21 0.174699 -0.200114
1 21 0.35205 -0.210365
0 22 0.135153 -0.195207
1 22 0.314044 -0.204989
0 23 0.118196 -0.193782
1 23 0.300316 -0.203712
0 24 0.25988 -0.19359
1 24 0.438975 -0.204026
0 25 0.170808 -0.192683
1 25 0.346586 -0.203117
0 26 -0.00185828 -0.190749
1 26 0.167637 -0.200281
0 27 0.0867183 -0.1904
1 27 0.267924 -0.200022
0 28 -0.0221078 -0.188944
1 28 0.147051 -0.198035
0 29 0.00687259 -0.187729
1 29 0.177542 -0.197002
0 30 0.101087 -0.18722
1 30 0.282749 -0.196582
0 31 0.110676 -0.187621
1 31 0.292353 -0.197484
0 32 -0.00348103 -0.182811
1 32 0.165158 -0.192792
0 33 -0.0285069 -0.181795
1 33 0.140418 -0.191034
0 34 -0.0102138 -0.176515
1 34 0.157884 -0.18584
0 35 0.0848966 -0.176637
1 35 0.265556 -0.185832
0 36 0.0993547 -0.175294
1 36 0.280589 -0.184517
0 37 -0.0350802 -0.168241
1 37 0.133133 -0.177391
0 38 0.149963 -0.168123
1 38 0.326944 -0.176736
0 39 0.0818534 -0.164266
1 39 0.262435 -0.173597
0 40 0.098953 -0.164802
1 40 0.279929 -0.173865
0 41 0.126917 -0.164275
1 41 0.305672 -0.173581
0 42 -0.0710433 -0.161773
1 42 0.0973736 -0.169798
0 43 -0.0313761 -0.159548
1 43 0.135989 -0.168707
0 44 0.070967 -0.160441
1 44 0.248033 -0.16934
0 45 -0.0872367 -0.159401
1 45 0.0794038 -0.167894
0 46 -0.0392088 -0.159049
1 46 0.12787 -0.167946
0 47 -0.0244101 -0.157214
1 47 0.142652 -0.166156
0 48 0.0945203 -0.156776
1 48 0.274013 -0.165724
0 49 0.0059559 -0.152766
1 49 0.174777 -0.161686
0 50 0.0733213 -0.152192
1 50 0.249779 -0.161534
0 51 0.0788078 -0.148828
1 51 0.25495 -0.157926
0 52 -0.00674013 -0.146034
1 52 0.158656 -0.15463
0 53 0.0662613 -0.14599
1 53 0.241226 -0.154906
0 54 0.347476 -0.147175
1 54 0.533814 -0.157518
0 55 0.330893 -0.14582
1 55 0.515349 -0.15608
0 56 0.279105 -0.143943
1 56 0.457988 -0.156368
0 57 -0.0143069 -0.139475
1 57 0.149835 -0.149386
0 58 0.0438023 -0.136766
1 58 0.215017 -0.14529
0 59 0.0770698 -0.135168
1 59 0.252161 -0.143852
0 60 -0.101827 -0.130674
1 60 0.0653879 -0.13722
0 61 0.0538146 -0.129731
1 61 0.226936 -0.139042
0 62 0.123918 -0.126697
1 62 0.29882 -0.136374
0 63 0.163823 -0.124169
1 63 0.342449 -0.13307
0 64 0.170577 -0.119003
1 64 0.351162 -0.127429
0 65 0.0657117 -0.117257
1 65 0.238679 -0.126236
0 66 0.0606759 -0.108933
1 66 0.233424 -0.118045
0 67 0.0933611 -0.10933
1 67 0.266954 -0.117501
0 68 0.215305 -0.105532
1 68 0.390714 -0.113228
0 69 -0.130299 -0.103242
1 69 0.0425369 -0.10991
0 70 -0.123089 -0.102808
1 70 0.0506417 -0.108984
0 71 0.0945818 -0.100692
1 71 0.267986 -0.108907
0 72 -0.134929 -0.0977419
1 72 0.0378878 -0.103445
0 73 0.0741492 -0.0981499
1 73 0.2467 -0.107065
0 74 0.113972 -0.0941777
1 74 0.28481 -0.102405
0 75 0.0653708 -0.090968
1 75 0.237555 -0.0997231
0 76 0.230122 -0.0913599
1 76 0.409929 -0.100713
0 77 0.0396704 -0.0877499
1 77 0.208553 -0.0964815
0 78 0.0722122 -0.0855503
1 78 0.244448 -0.0946385
0 79 0.0929625 -0.0816779
1 79 0.266065 -0.0899257
0 80 -0.150881 -0.0779471
1 80 0.0300247 -0.0842771
0 81 0.0371493 -0.0780472
1 81 0.206001 -0.0860806
0 82 0.105053 -0.0791963
1 82 0.277474 -0.0877511
0 83 0.273314 -0.0768541
1 83 0.452939 -0.0859723
0 84 0.113267 -0.0755154
1 84 0.28534 -0.0839822
0 85 -0.146968 -0.070404
1 85 0.0340958 -0.0757402
0 86 0.112817 -0.0656377
1 86 0.286744 -0.0727246
0 87 0.0416392 -0.0641198
1 87 0.213845 -0.0709315
0 88 0.0525146 -0.0605671
1 88 0.22456 -0.0684925
0 89 -0.139993 -0.058797
1 89 0.0443928 -0.0648807
0 90 -0.164351 -0.0565526
1 90 0.0143784 -0.0624243
0 91 -0.196275 -0.0515335
1 91 -0.0131336 -0.0571209
0 92 -0.17658 -0.0364727
1 92 0.00609174 -0.0421537
0 93 0.358545 -0.0365743
1 93 0.546319 -0.0450446
0 94 -0.0283771 -0.0325252
1 94 0.132821 -0.0408294
0 95 0.158991 -0.0306629
1 95 0.326731 -0.0383249
0 96 -0.168417 -0.0289729
1 96 0.0161443 -0.0346002
0 97 -0.197183 -0.022095
1 97 -0.0131154 -0.0271276
0 98 0.110806 -0.0127677
1 98 0.27936 -0.0192711
0 99 -0.208009 -0.0107702
1 99 -0.0226462 -0.0158352
0 100 -0.170224 -0.0114031
1 100 0.0136568 -0.0183576
0 101 0.142781 -0.00910998
1 101 0.313167 -0.0152658
0 102 -0.208491 -0.00153059
1 102 -0.0208752 -0.00712365
0 103 -0.1717 -0.00192273
1 103 0.0101271 -0.00950996
