9 3215 11313
0 0 0.353327 -0.365622
1 0 0.231079 -0.284113
0 1 0.324803 -0.338113
1 1 0.194404 -0.255585
0 2 0.534663 -0.305509
1 2 0.374721 -0.218906
0 3 0.530588 -0.303471
1 3 0.368608 -0.216868
0 4 0.385927 -0.297358
1 4 0.237191 -0.212793
0 5 0.416489 -0.297358
1 5 0.264697 -0.211774
0 6 0.414452 -0.292264
1 6 0.261641 -0.207698
0 7 0.397133 -0.290226
1 7 0.24636 -0.205661
0 8 -0.0755614 -0.284113
1 8 -0.183548 -0.207698
0 9 0.354346 -0.276981
1 9 0.214779 -0.195472
0 10 -0.0745427 -0.271887
1 10 -0.183548 -0.19751
0 11 0.419545 -0.269849
1 11 0.268772 -0.186302
0 12 0.384908 -0.266792
1 12 0.239229 -0.184264
0 13 0.421583 -0.265773
1 13 0.269791 -0.183246
0 14 -0.0490742 -0.262717
1 14 -0.160117 -0.189359
0 15 0.406302 -0.258641
1 15 0.258585 -0.177132
0 16 -0.0612991 -0.257623
1 16 -0.170304 -0.184264
0 17 0.409358 -0.256604
1 17 0.260622 -0.175095
0 18 0.397133 -0.253547
1 18 0.250435 -0.172038
0 19 0.402227 -0.252528
1 19 0.25451 -0.171019
0 20 0.48067 -0.252528
1 20 0.323784 -0.168982
0 21 -0.0837113 -0.251509
1 21 -0.192716 -0.178151
0 22 -0.330246 -0.25049
1 22 -0.438232 -0.176114
0 23 0.36759 -0.248453
1 23 0.227004 -0.168982
0 24 -0.346546 -0.247434
1 24 -0.453513 -0.173057
0 25 -0.0969549 -0.246415
1 25 -0.204941 -0.173057
0 26 -0.0918612 -0.246415
1 26 -0.200866 -0.173057
0 27 -0.334321 -0.238264
1 27 -0.443326 -0.164906
0 28 -0.282365 -0.237245
1 28 -0.388314 -0.163887
0 29 -0.0959362 -0.235208
1 29 -0.204941 -0.162868
0 30 -0.0378681 -0.23317
1 30 -0.147892 -0.159812
0 31 -0.280328 -0.232151
1 31 -0.387295 -0.158793
0 32 -0.0959362 -0.232151
1 32 -0.204941 -0.159812
0 33 -0.34349 -0.231132
1 33 -0.450457 -0.157774
0 34 -0.339415 -0.229094
1 34 -0.446382 -0.155736
0 35 -0.355714 -0.227057
1 35 -0.461663 -0.153699
0 36 -0.290515 -0.219925
1 36 -0.398501 -0.147585
0 37 -0.277272 -0.219925
1 37 -0.385258 -0.147585
0 38 -0.00424974 -0.217887
1 38 -0.111217 -0.145548
0 39 -0.288478 -0.216868
1 39 -0.396464 -0.144529
0 40 -0.265047 -0.21483
1 40 -0.373033 -0.142491
0 41 -0.347564 -0.212793
1 41 -0.455551 -0.140453
0 42 -0.34349 -0.211774
1 42 -0.451476 -0.139435
0 43 0.346196 -0.207698
1 43 0.227004 -0.13434
0 44 -0.312927 -0.205661
1 44 -0.420914 -0.13434
0 45 0.342121 -0.205661
1 45 0.223948 -0.132303
0 46 -0.309871 -0.200566
1 46 -0.417857 -0.129246
0 47 -0.0256432 -0.200566
1 47 -0.134648 -0.129246
0 48 -0.000174789 -0.198529
1 48 -0.10918 -0.128227
0 49 -0.342471 -0.19751
1 49 -0.449438 -0.126189
0 50 -0.0205496 -0.19751
1 50 -0.129555 -0.127208
0 51 0.519382 -0.196491
1 51 0.391021 -0.120076
0 52 -0.0735239 -0.195472
1 52 -0.18151 -0.12517
0 53 0.00288143 -0.195472
1 53 -0.105105 -0.12517
0 54 0.509194 -0.195472
1 54 0.381852 -0.121095
0 55 -0.0531492 -0.194453
1 55 -0.160117 -0.12517
0 56 0.353327 -0.194453
1 56 0.231079 -0.121095
0 57 -0.0826926 -0.193434
1 57 -0.18966 -0.123133
0 58 0.419545 -0.193434
1 58 0.289147 -0.118038
0 59 0.469463 -0.193434
1 59 0.33499 -0.11702
0 60 0.513269 -0.191396
1 60 0.385927 -0.116001
0 61 0.40732 -0.190378
1 61 0.279978 -0.114982
0 62 0.410377 -0.190378
1 62 0.283034 -0.116001
0 63 0.368608 -0.189359
1 63 0.248397 -0.116001
0 64 0.368608 -0.185283
1 64 0.249416 -0.112944
0 65 0.458257 -0.185283
1 65 0.31869 -0.108869
0 66 0.368608 -0.183246
1 66 0.249416 -0.109888
0 67 0.514288 -0.180189
1 67 0.390002 -0.105812
0 68 0.409358 -0.174076
1 68 0.282016 -0.100718
0 69 0.447051 -0.168982
1 69 0.306465 -0.0925669
0 70 -0.298665 -0.164906
1 70 -0.402576 -0.0966423
0 71 -0.0205496 -0.158793
1 71 -0.130573 -0.0895103
0 72 -0.0164746 -0.155736
1 72 -0.126498 -0.0864537
0 73 0.333971 -0.154717
1 73 0.208667 -0.0823783
0 74 0.482707 -0.154717
1 74 0.344159 -0.0783028
0 75 -0.00424974 -0.153699
1 75 -0.116311 -0.084416
0 76 0.332953 -0.15268
1 76 0.207648 -0.0803406
0 77 0.460295 -0.15268
1 77 0.319709 -0.077284
0 78 0.473538 -0.150642
1 78 0.331934 -0.0732085
0 79 -0.358771 -0.148604
1 79 -0.459626 -0.0813594
0 80 -0.355714 -0.148604
1 80 -0.456569 -0.0813594
0 81 0.441958 -0.145548
1 81 0.305447 -0.0701519
0 82 0.348234 -0.142491
1 82 0.223948 -0.0711708
0 83 0.450107 -0.142491
1 83 0.311559 -0.0670954
0 84 0.00593764 -0.139435
1 84 -0.104086 -0.0711708
0 85 -0.358771 -0.138416
1 85 -0.461663 -0.0721897
0 86 -0.0959362 -0.137397
1 86 -0.20596 -0.0691331
0 87 0.0049189 -0.135359
1 87 -0.105105 -0.0670954
0 88 -0.0174933 -0.133321
1 88 -0.127517 -0.0650576
0 89 0.5204 -0.132303
1 89 0.380833 -0.0569067
0 90 0.349252 -0.130265
1 90 0.227004 -0.0589445
0 91 -0.104086 -0.129246
1 91 -0.215129 -0.062001
0 92 0.350271 -0.127208
1 92 0.229041 -0.0569067
0 93 0.436864 -0.12517
1 93 0.30239 -0.0507936
0 94 0.450107 -0.118038
1 94 0.315634 -0.0436615
0 95 0.428714 -0.114982
1 95 0.295259 -0.0416238
0 96 -0.00934343 -0.113963
1 96 -0.116311 -0.0467181
0 97 0.338046 -0.113963
1 97 0.21376 -0.0426427
0 98 0.342121 -0.113963
1 98 0.219873 -0.0426427
0 99 0.315634 -0.111925
1 99 0.195423 -0.0416238
0 100 0.314615 -0.106831
1 100 0.195423 -0.0355106
0 101 0.31869 -0.105812
1 101 0.198479 -0.0365295
0 102 0.445014 -0.103774
1 102 0.31054 -0.0304163
0 103 0.31869 -0.101737
1 103 0.199498 -0.0324541
0 104 0.491876 -0.100718
1 104 0.354346 -0.0273597
0 105 0.492894 -0.0966423
1 105 0.356384 -0.0232843
0 106 -0.121405 -0.0956235
1 106 -0.23856 -0.0283786
0 107 -0.0511117 -0.0956235
1 107 0.353327 -0.136378
0 108 0.496969 -0.0956235
1 108 0.360459 -0.0212466
0 109 -0.124461 -0.0925669
1 109 -0.243653 -0.025322
0 110 0.457239 -0.091548
1 110 0.320728 -0.0192088
0 111 0.496969 -0.091548
1 111 0.360459 -0.01819
0 112 0.424639 -0.0905292
1 112 0.290166 -0.01819
0 113 0.483726 -0.0905292
1 113 0.345177 -0.0161523
0 114 0.418527 -0.0895103
1 114 0.284053 -0.0171711
0 115 0.454182 -0.0895103
1 115 0.317672 -0.0161523
0 116 0.458257 -0.0884914
1 116 0.321746 -0.0151334
0 117 0.363515 -0.0874726
1 117 0.253491 -0.0202277
0 118 0.482707 -0.0864537
1 118 0.345177 -0.0130957
0 119 0.499007 -0.0854349
1 119 0.362496 -0.0120768
0 120 -0.118348 -0.084416
1 120 -0.237541 -0.0171711
0 121 0.503082 -0.084416
1 121 0.366571 -0.011058
0 122 -0.191698 -0.0833971
1 122 -0.313946 -0.0141145
0 123 0.449089 -0.0833971
1 123 0.312578 -0.011058
0 124 -0.346546 -0.0823783
1 124 -0.44842 -0.01819
0 125 -0.338396 -0.0823783
1 125 -0.44027 -0.01819
0 126 -0.18966 -0.0823783
1 126 -0.309871 -0.0151334
0 127 -0.342471 -0.0813594
1 127 -0.444345 -0.01819
0 128 -0.133629 -0.0813594
1 128 -0.252822 -0.0141145
0 129 0.433808 -0.0813594
1 129 0.299334 -0.00902023
0 130 0.457239 -0.0803406
1 130 0.320728 -0.00800137
0 131 0.436864 -0.0793217
1 131 0.30239 -0.0069825
0 132 0.46437 -0.0793217
1 132 0.327859 -0.00596364
0 133 0.484745 -0.0793217
1 133 0.347215 -0.0069825
0 134 0.470482 -0.0752462
1 134 0.332953 -0.00290706
0 135 -0.20596 -0.0742274
1 135 -0.325152 -0.0069825
0 136 -0.178454 -0.0721897
1 136 -0.298665 -0.00494478
0 137 -0.176416 -0.0721897
1 137 -0.295609 -0.00494478
0 138 -0.0979736 -0.0721897
1 138 -0.210035 -0.0069825
0 139 0.309522 -0.0721897
1 139 0.193385 -0.00392592
0 140 -0.17336 -0.0670954
1 140 -0.292553 -0.000869334
0 141 0.32684 -0.0670954
1 141 0.210704 0.00116839
0 142 -0.315984 -0.0650576
1 142 -0.417857 -0.0018882
0 143 -0.320059 -0.0630199
1 143 -0.420914 -0.000869334
0 144 -0.180491 -0.0589445
1 144 -0.30274 0.00931928
0 145 0.329896 -0.0589445
1 145 0.212741 0.00931928
0 146 0.308503 -0.0579256
1 146 0.193385 0.0103381
0 147 0.48882 -0.0569067
1 147 0.35944 0.0133947
0 148 0.486782 -0.0528313
1 148 0.358421 0.018489
0 149 0.304428 -0.0507936
1 149 0.190329 0.0154325
0 150 0.273866 -0.0487558
1 150 0.163842 0.0164513
0 151 0.30239 -0.0426427
1 151 0.18931 0.0246022
0 152 0.484745 -0.0426427
1 152 0.356384 0.0276588
0 153 0.292203 -0.0416238
1 153 0.180142 0.0246022
0 154 0.393058 -0.0416238
1 154 0.266735 0.0276588
0 155 0.400189 -0.0416238
1 155 0.271828 0.0276588
0 156 0.314615 -0.0406049
1 156 0.199498 0.0266399
0 157 0.440939 -0.0355106
1 157 0.311559 0.0347908
0 158 -0.364883 -0.0344918
1 158 -0.487132 0.0317342
0 159 0.436864 -0.0344918
1 159 0.305447 0.0368286
0 160 0.433808 -0.0334729
1 160 0.30239 0.0368286
0 161 0.437883 -0.0314352
1 161 0.307484 0.0398851
0 162 0.392039 -0.0293975
1 162 0.264697 0.0398851
0 163 0.435845 -0.0273597
1 163 0.305447 0.0419229
0 164 0.453164 -0.0273597
1 164 0.324803 0.0429417
0 165 0.383889 -0.025322
1 165 0.258585 0.0429417
0 166 0.48882 -0.0171711
1 166 0.360459 0.0531303
0 167 0.382871 -0.0130957
1 167 0.259603 0.0551681
0 168 0.461314 -0.0130957
1 168 0.333971 0.0561869
0 169 0.422602 -0.0018882
1 169 0.295259 0.0673944
0 170 -0.354696 0.00218725
1 170 -0.48 0.0663755
0 171 0.313597 0.00218725
1 171 0.193385 0.0694321
0 172 -0.382202 0.011357
1 172 -0.508525 0.0755453
0 173 0.0650245 0.011357
1 173 -0.0348119 0.0724887
0 174 0.300353 0.0123759
1 174 0.181161 0.0786019
0 175 0.305447 0.0256211
1 175 0.185236 0.0918471
0 176 -0.405633 0.0276588
1 176 -0.535012 0.092866
0 177 0.104755 0.0276588
1 177 -0.0327744 0.0949037
0 178 0.110868 0.0276588
1 178 -0.026662 0.0949037
0 179 0.313597 0.0296965
1 179 0.193385 0.0949037
0 180 0.384908 0.0296965
1 180 0.256547 0.0979603
0 181 0.388983 0.0317342
1 181 0.261641 0.099998
0 182 0.314615 0.0347908
1 182 0.194404 0.101017
0 183 0.331934 0.0378474
1 183 0.207648 0.105092
0 184 0.499007 0.0378474
1 184 0.366571 0.10713
0 185 0.322765 0.0388663
1 185 0.201535 0.105092
0 186 0.457239 0.0388663
1 186 0.325821 0.10713
0 187 0.368608 0.040904
1 187 0.241266 0.109168
0 188 0.45622 0.0429417
1 188 0.323784 0.111205
0 189 0.371665 0.0439606
1 189 0.244322 0.111205
0 190 0.534663 0.0439606
1 190 0.406302 0.113243
0 191 0.331934 0.0459983
1 191 0.209685 0.112224
0 192 0.449089 0.0470172
1 192 0.316653 0.115281
0 193 0.503082 0.0470172
1 193 0.370646 0.1163
0 194 0.518363 0.048036
1 194 0.386946 0.117319
0 195 0.527532 0.048036
1 195 0.397133 0.117319
0 196 0.491876 0.0490549
1 196 0.35944 0.118337
0 197 0.510213 0.0500738
1 197 0.377777 0.118337
0 198 0.532625 0.0500738
1 198 0.40732 0.118337
0 199 0.331934 0.0510926
1 199 0.208667 0.117319
0 200 0.519382 0.0521115
1 200 0.387964 0.121394
0 201 0.533644 0.0521115
1 201 0.404264 0.121394
0 202 0.333971 0.0531303
1 202 0.211723 0.119356
0 203 0.511232 0.0531303
1 203 0.378796 0.121394
0 204 0.529569 0.0531303
1 204 0.401208 0.122413
0 205 0.5367 0.0531303
1 205 0.40732 0.121394
0 206 0.497988 0.0561869
1 206 0.366571 0.12547
0 207 0.534663 0.0561869
1 207 0.405283 0.124451
0 208 0.531607 0.0572058
1 208 0.402227 0.126488
0 209 0.516325 0.0582247
1 209 0.383889 0.127507
0 210 0.519382 0.0612812
1 210 0.387964 0.130564
0 211 0.304428 0.0623001
1 211 0.187273 0.127507
0 212 0.521419 0.0623001
1 212 0.392039 0.131583
0 213 0.519382 0.0653567
1 213 0.390002 0.13362
0 214 -0.128536 0.0673944
1 214 -0.233466 0.126488
0 215 0.497988 0.0673944
1 215 0.368608 0.135658
0 216 0.395096 0.0694321
1 216 0.267753 0.137696
0 217 0.529569 0.0694321
1 217 0.403246 0.137696
0 218 0.404264 0.070451
1 218 0.277941 0.137696
0 219 0.400189 0.0724887
1 219 0.272847 0.139734
0 220 0.468445 0.0724887
1 220 0.338046 0.140752
0 221 0.353327 0.0735076
1 221 0.23006 0.139734
0 222 0.404264 0.0735076
1 222 0.276922 0.140752
0 223 -0.0786176 0.0745264
1 223 -0.186604 0.135658
0 224 0.382871 0.0745264
1 224 0.256547 0.141771
0 225 0.465389 0.0745264
1 225 0.33499 0.14279
0 226 0.354346 0.0755453
1 226 0.231079 0.141771
0 227 0.410377 0.0755453
1 227 0.280997 0.14279
0 228 0.417508 0.0765642
1 228 0.288128 0.143809
0 229 0.121055 0.0786019
1 229 -0.0236058 0.145847
0 230 0.413433 0.0816585
1 230 0.284053 0.148903
0 231 0.432789 0.0816585
1 231 0.303409 0.148903
0 232 0.429733 0.0826773
1 232 0.299334 0.149922
0 233 0.494932 0.0836962
1 233 0.366571 0.150941
0 234 0.202554 0.0847151
1 234 0.0711369 0.149922
0 235 0.486782 0.0847151
1 235 0.358421 0.152979
0 236 0.190329 0.0867528
1 236 0.0507621 0.152979
0 237 0.493913 0.0877716
1 237 0.364533 0.156035
0 238 0.385927 0.0887905
1 238 0.260622 0.155017
0 239 0.395096 0.0887905
1 239 0.268772 0.156035
0 240 0.413433 0.0887905
1 240 0.284053 0.155017
0 241 0.489838 0.0887905
1 241 0.360459 0.157054
0 242 0.391021 0.0898094
1 242 0.265716 0.156035
0 243 0.400189 0.0898094
1 243 0.272847 0.156035
0 244 0.426676 0.0898094
1 244 0.298315 0.157054
0 245 0.21376 0.0908282
1 245 0.0813243 0.157054
0 246 0.395096 0.0908282
1 246 0.267753 0.158073
0 247 0.395096 0.092866
1 247 0.268772 0.160111
0 248 0.402227 0.092866
1 248 0.274885 0.159092
0 249 0.405283 0.0938848
1 249 0.278959 0.16113
0 250 0.398152 0.0949037
1 250 0.272847 0.162149
0 251 0.41547 0.0949037
1 251 0.288128 0.16113
0 252 0.00899385 0.0959225
1 252 -0.119367 0.160111
0 253 0.412414 0.0959225
1 253 0.285072 0.163167
0 254 0.429733 0.0959225
1 254 0.301372 0.163167
0 255 -0.318021 0.0969414
1 255 -0.422951 0.155017
0 256 0.195423 0.0969414
1 256 0.0619682 0.162149
0 257 0.478632 0.0969414
1 257 0.350271 0.165205
0 258 0.425658 0.0979603
1 258 0.296278 0.164186
0 259 0.427695 0.0979603
1 259 0.299334 0.165205
0 260 0.202554 0.0989791
1 260 0.0701181 0.164186
0 261 0.41547 0.0989791
1 261 0.288128 0.166224
0 262 0.00695638 0.099998
1 262 -0.121405 0.163167
0 263 0.184217 0.099998
1 263 0.0415935 0.166224
0 264 0.42362 0.101017
1 264 0.295259 0.168262
0 265 0.0741931 0.104073
1 265 -0.065374 0.169281
0 266 0.208667 0.104073
1 266 0.0762306 0.169281
0 267 0.00390016 0.105092
1 267 -0.124461 0.168262
0 268 -0.394426 0.106111
1 268 -0.519731 0.166224
0 269 0.137355 0.10713
1 269 -0.003231 0.172337
0 270 0.078268 0.110187
1 270 -0.0612991 0.174375
0 271 0.082343 0.112224
1 271 -0.0582429 0.177431
0 272 -0.417857 0.115281
1 272 -0.543162 0.174375
