9 3203 11782
0 0 0.331001 -0.377175
1 0 0.204959 -0.293537
0 1 0.541653 -0.303169
1 1 0.377806 -0.215868
0 2 0.385637 -0.297093
1 2 0.237064 -0.213129
0 3 0.504096 -0.296105
1 3 0.341851 -0.209047
0 4 0.41459 -0.29168
1 4 0.261729 -0.207387
0 5 0.39661 -0.290308
1 5 0.246414 -0.205507
0 6 0.511927 -0.285
1 6 0.350646 -0.198199
0 7 -0.0751347 -0.283283
1 7 -0.183805 -0.208156
0 8 0.37256 -0.270993
1 8 0.228671 -0.189971
0 9 0.352353 -0.269807
1 9 0.214312 -0.189525
0 10 0.419295 -0.269262
1 10 0.268483 -0.186671
0 11 0.484912 -0.261843
1 11 0.327885 -0.178096
0 12 -0.0612136 -0.258074
1 12 -0.170665 -0.184308
0 13 0.393998 -0.258116
1 13 0.246993 -0.176678
0 14 0.489296 -0.256841
1 14 0.331993 -0.172383
0 15 0.375708 -0.253079
1 15 0.232211 -0.172955
0 16 0.477318 -0.254281
1 16 0.322353 -0.171624
0 17 0.470431 -0.251812
1 17 0.315297 -0.168978
0 18 0.498792 -0.250067
1 18 0.341527 -0.165563
0 19 0.367577 -0.248951
1 19 0.227014 -0.168724
0 20 0.474851 -0.248457
1 20 0.319929 -0.165319
0 21 -0.09709 -0.246708
1 21 -0.20517 -0.173594
0 22 -0.0915948 -0.246676
1 22 -0.200486 -0.173305
0 23 -0.0383995 -0.232903
1 23 -0.148436 -0.160311
0 24 -0.277253 -0.219885
1 24 -0.385514 -0.1475
0 25 -0.00481321 -0.21858
1 25 -0.110885 -0.146098
0 26 0.506701 -0.19932
1 26 0.380494 -0.12484
0 27 0.00297898 -0.195586
1 27 -0.105181 -0.12535
0 28 0.509188 -0.195649
1 28 0.381936 -0.120706
0 29 0.353328 -0.194646
1 29 0.230533 -0.120682
0 30 -0.0831323 -0.193637
1 30 -0.18325 -0.12469
0 31 0.419374 -0.193163
1 31 0.289305 -0.117762
0 32 0.513255 -0.19137
1 32 0.386815 -0.116321
0 33 0.407414 -0.189619
1 33 0.2801 -0.115299
0 34 0.368113 -0.189343
1 34 0.248346 -0.116453
0 35 0.368877 -0.185831
1 35 0.249036 -0.113106
0 36 0.340068 -0.181014
1 36 0.221738 -0.107959
0 37 0.513997 -0.179919
1 37 0.389833 -0.105765
0 38 0.446645 -0.168928
1 38 0.306601 -0.0922872
0 39 0.0126236 -0.167292
1 39 -0.0975646 -0.0979494
0 40 0.406925 -0.156718
1 40 0.28155 -0.0833751
0 41 0.33401 -0.154154
1 41 0.20848 -0.0817987
0 42 -0.00462878 -0.153942
1 42 -0.116707 -0.0848263
0 43 0.332545 -0.152973
1 43 0.206276 -0.0806675
0 44 0.4606 -0.1532
1 44 0.319709 -0.077284
0 45 0.441889 -0.148429
1 45 0.304532 -0.0730375
0 46 0.353061 -0.143193
1 46 0.229073 -0.07143
0 47 0.00803456 -0.136827
1 47 -0.101312 -0.0688267
0 48 -0.362026 -0.136052
1 48 -0.463287 -0.0695434
0 49 0.536002 -0.135664
1 49 0.39602 -0.0598418
0 50 0.543657 -0.134372
1 50 0.403154 -0.0586913
0 51 0.350282 -0.127422
1 51 0.228853 -0.0567224
0 52 0.436733 -0.12511
1 52 0.302238 -0.0507589
0 53 0.450269 -0.11809
1 53 0.315264 -0.043807
0 54 0.522684 -0.117618
1 54 0.385298 -0.0430437
0 55 -0.00870367 -0.113474
1 55 -0.11617 -0.0463881
0 56 0.335546 -0.113199
1 56 0.213328 -0.0428594
0 57 0.315341 -0.111881
1 57 0.195797 -0.0419888
0 58 0.321878 -0.112316
1 58 0.202217 -0.0432151
0 59 -0.35874 -0.107479
1 59 -0.460435 -0.0421096
0 60 0.318718 -0.105822
1 60 0.198502 -0.0361491
0 61 0.445055 -0.103854
1 61 0.310394 -0.0303082
0 62 0.497186 -0.0959023
1 62 0.360313 -0.0219311
0 63 0.308502 -0.0916092
1 63 0.191348 -0.0222654
0 64 0.496852 -0.0913298
1 64 0.360443 -0.0179767
0 65 0.49184 -0.0902315
1 65 0.354125 -0.0149707
0 66 0.507042 -0.0907677
1 66 0.369361 -0.0175052
0 67 0.471482 -0.0898861
1 67 0.334749 -0.0170642
0 68 0.49917 -0.0854755
1 68 0.363029 -0.012533
0 69 -0.118386 -0.0844286
1 69 -0.237238 -0.0170097
0 70 0.449234 -0.0831542
1 70 0.312607 -0.0103732
0 71 0.457431 -0.0833247
1 71 0.321082 -0.011058
0 72 -0.342507 -0.0815262
1 72 -0.444345 -0.0177018
0 73 0.436559 -0.0798251
1 73 0.30192 -0.00767517
0 74 0.444678 -0.0798506
1 74 0.313182 -0.00820447
0 75 0.464371 -0.0791162
1 75 0.327732 -0.00623649
0 76 0.484145 -0.0795165
1 76 0.346228 -0.00696668
0 77 -0.205808 -0.0746358
1 77 -0.324762 -0.00756146
0 78 0.306739 -0.0711518
1 78 0.189766 -0.00335778
0 79 0.430908 -0.0667003
1 79 0.296917 0.00658597
0 80 -0.320541 -0.0630073
1 80 -0.421293 -0.00025117
0 81 -0.17261 -0.0608981
1 81 -0.291365 0.00489485
0 82 0.316574 -0.0564853
1 82 0.201783 0.0109851
0 83 0.488243 -0.0566723
1 83 0.359008 0.0140065
0 84 0.27795 -0.05386
1 84 0.170857 0.0112596
0 85 0.486724 -0.0519714
1 85 0.358264 0.0189635
0 86 0.490435 -0.0459926
1 86 0.361918 0.0250588
0 87 0.278706 -0.0427868
1 87 0.167209 0.0236948
0 88 0.484568 -0.0428995
1 88 0.356317 0.0274887
0 89 0.392767 -0.0419414
1 89 0.266474 0.0273163
0 90 0.399674 -0.0424004
1 90 0.271812 0.027498
0 91 0.402746 -0.0407218
1 91 0.274528 0.0290925
0 92 0.441971 -0.039896
1 92 0.310481 0.0313936
0 93 0.404045 -0.0383546
1 93 0.276597 0.0314164
0 94 0.400168 -0.036255
1 94 0.272847 0.0328316
0 95 0.395194 -0.0362905
1 95 0.267183 0.0341575
0 96 0.43857 -0.0344392
1 96 0.305373 0.0368889
0 97 0.401283 -0.0275474
1 97 0.282959 0.040067
0 98 0.435533 -0.0276918
1 98 0.305291 0.041783
0 99 0.383662 -0.0260317
1 99 0.258316 0.0427413
0 100 -0.433762 -0.0228605
1 100 -0.556631 0.0424713
0 101 0.486216 -0.0198449
1 101 0.358476 0.0499863
0 102 0.486431 -0.0100488
1 102 0.359556 0.0601012
0 103 0.313485 0.00181634
1 103 0.193191 0.069214
0 104 0.276107 0.0042556
1 104 0.164619 0.0694374
0 105 0.104742 0.0200495
1 105 -0.0327183 0.0880309
0 106 0.430702 0.0261813
1 106 0.297889 0.0951146
0 107 0.104769 0.0273843
1 107 -0.032461 0.0947431
0 108 0.313464 0.0294674
1 108 0.19342 0.095868
0 109 0.314215 0.0342674
1 109 0.194044 0.100482
0 110 0.499137 0.0380363
1 110 0.366813 0.10721
0 111 0.322479 0.0386841
1 111 0.201122 0.104683
0 112 0.457236 0.0385852
1 112 0.325855 0.107595
0 113 0.368331 0.0414893
1 113 0.240437 0.109421
0 114 0.45077 0.0408809
1 114 0.31875 0.109748
