15 3165 10059
0 0 -0.0938987 -0.326905
1 0 -0.0643553 -0.353396
0 1 -0.0806551 -0.315698
1 1 -0.0521304 -0.344226
0 2 -0.260972 -0.314679
1 2 -0.227353 -0.35849
0 3 -0.252822 -0.292264
1 3 -0.220222 -0.338113
0 4 -0.0847301 -0.292264
1 4 -0.0562054 -0.32283
0 5 -0.236522 -0.280037
1 5 -0.204941 -0.325886
0 6 -0.220222 -0.278
1 6 -0.190679 -0.323849
0 7 0.483726 -0.278
1 7 0.495951 -0.312641
0 8 -0.225316 -0.276981
1 8 -0.195773 -0.32283
0 9 0.479651 -0.275962
1 9 0.491876 -0.310603
0 10 0.477613 -0.273924
1 10 0.489838 -0.308566
0 11 -0.0511117 -0.26883
1 11 -0.0246245 -0.300415
0 12 -0.224297 -0.263736
1 12 -0.194754 -0.310603
0 13 0.451126 -0.260679
1 13 0.463351 -0.29532
0 14 0.455201 -0.260679
1 14 0.467426 -0.29532
0 15 -0.0164746 -0.251509
1 15 0.00797512 -0.283094
0 16 -0.212072 -0.249472
1 16 -0.184566 -0.297358
0 17 0.424639 -0.249472
1 17 0.437883 -0.285132
0 18 0.428714 -0.249472
1 18 0.441958 -0.285132
0 19 0.421583 -0.246415
1 19 0.434826 -0.282075
0 20 -0.18966 -0.245396
1 20 -0.161135 -0.291245
0 21 -0.0307369 -0.24234
1 21 -0.00628722 -0.275962
0 22 -0.177435 -0.239283
1 22 -0.149929 -0.285132
0 23 -0.18151 -0.236226
1 23 -0.154004 -0.282075
0 24 0.398152 -0.236226
1 24 0.411395 -0.271887
0 25 -0.166229 -0.235208
1 25 -0.139742 -0.280037
0 26 0.395096 -0.235208
1 26 0.408339 -0.270868
0 27 0.00288143 -0.230113
1 27 0.0263124 -0.262717
0 28 -0.180491 -0.225019
1 28 -0.152986 -0.271887
0 29 -0.0144371 -0.18834
1 29 0.00797512 -0.225019
0 30 -0.0134184 -0.186302
1 30 0.00899385 -0.222981
0 31 -0.0123996 -0.181208
1 31 0.00899385 -0.219925
0 32 0.0140875 -0.174076
1 32 0.035481 -0.210755
0 33 -0.0847301 -0.172038
1 33 -0.0623178 -0.21483
0 34 -0.00221227 -0.165925
1 34 0.0191812 -0.203623
0 35 0.0497434 -0.165925
1 35 0.0813243 -0.175095
0 36 0.0140875 -0.164906
1 36 0.035481 -0.202604
0 37 0.000843949 -0.163887
