9 6747 25998
0 0 0.516338 -0.391011
1 0 0.370889 -0.305385
0 1 0.521374 -0.385456
1 1 0.376088 -0.29796
0 2 0.364898 -0.36645
1 2 0.244027 -0.285218
0 3 0.354005 -0.365819
1 3 0.232539 -0.284393
0 4 0.356772 -0.322031
1 4 0.211738 -0.238311
0 5 0.504288 -0.312848
1 5 0.355374 -0.227855
0 6 0.39684 -0.308206
1 6 0.246843 -0.222447
0 7 0.501847 -0.308123
1 7 0.338785 -0.221012
0 8 0.526928 -0.304783
1 8 0.367772 -0.218246
0 9 0.477133 -0.30383
1 9 0.315951 -0.217213
0 10 0.540811 -0.303352
1 10 0.375499 -0.216021
0 11 -0.0868941 -0.297784
1 11 -0.196653 -0.21976
0 12 0.386905 -0.297488
1 12 0.238389 -0.21385
0 13 0.503633 -0.294249
1 13 0.341392 -0.207698
0 14 -0.0479646 -0.292955
1 14 -0.156577 -0.217651
0 15 -0.0628337 -0.290038
1 15 -0.172343 -0.214752
0 16 -0.0750341 -0.283892
1 16 -0.183766 -0.208561
0 17 0.336945 -0.279215
1 17 0.203123 -0.19936
0 18 0.356435 -0.27665
1 18 0.216614 -0.195811
0 19 -0.0712381 -0.276279
1 19 -0.179415 -0.20134
0 20 0.371894 -0.272569
1 20 0.228552 -0.191228
0 21 -0.113757 -0.270711
1 21 -0.21655 -0.196579
0 22 -0.064764 -0.267519
1 22 -0.173956 -0.192716
0 23 -0.348279 -0.266746
1 23 -0.45146 -0.192291
0 24 0.397368 -0.263089
1 24 0.250531 -0.181287
0 25 -0.307608 -0.261372
1 25 -0.413484 -0.186493
0 26 -0.327847 -0.260703
1 26 -0.433875 -0.18519
0 27 0.488441 -0.257421
1 27 0.330909 -0.173098
0 28 -0.367324 -0.255395
1 28 -0.469379 -0.181253
0 29 -0.0692125 -0.255588
1 29 -0.179031 -0.181148
0 30 -0.325421 -0.25435
1 30 -0.432136 -0.179004
0 31 0.371583 -0.254994
1 31 0.230119 -0.175271
0 32 0.477024 -0.254166
1 32 0.321445 -0.170897
0 33 0.470778 -0.252489
1 33 0.316482 -0.16965
0 34 -0.295441 -0.250316
1 34 -0.401615 -0.176614
0 35 0.490789 -0.250417
1 35 0.333206 -0.166612
0 36 -0.0915375 -0.246333
1 36 -0.200383 -0.172971
0 37 -0.00319171 -0.241945
1 37 -0.108514 -0.170894
0 38 -0.345089 -0.240222
1 38 -0.451964 -0.166117
0 39 -0.280171 -0.23921
1 39 -0.387337 -0.16556
0 40 -0.273384 -0.238115
1 40 -0.379331 -0.165254
0 41 -0.00681151 -0.224443
1 41 -0.112328 -0.152394
0 42 -0.351962 -0.221078
1 42 -0.458537 -0.147795
0 43 -0.27722 -0.219769
1 43 -0.385401 -0.147233
0 44 -0.00914365 -0.202641
1 44 -0.118787 -0.13221
0 45 0.528504 -0.20203
1 45 0.401021 -0.127679
0 46 0.508707 -0.198094
1 46 0.382248 -0.123843
0 47 0.504466 -0.194888
1 47 0.377373 -0.120741
0 48 -0.066913 -0.193232
1 48 -0.173622 -0.123026
0 49 -0.00582467 -0.190389
1 49 -0.116149 -0.120001
0 50 -0.0381993 -0.18921
1 50 -0.146392 -0.118998
0 51 -0.0443246 -0.187854
1 51 -0.152842 -0.117463
0 52 0.370952 -0.18202
1 52 0.250969 -0.10942
0 53 0.447537 -0.18254
1 53 0.308353 -0.106045
0 54 0.467149 -0.182611
1 54 0.327772 -0.106415
0 55 -0.251381 -0.18138
1 55 -0.354368 -0.111929
0 56 0.449302 -0.176853
1 56 0.308685 -0.100063
0 57 -0.299225 -0.175981
1 57 -0.404314 -0.106624
0 58 -0.253706 -0.175742
1 58 -0.357125 -0.105769
0 59 -0.309954 -0.173838
1 59 -0.41484 -0.103812
0 60 0.460251 -0.170689
1 60 0.319798 -0.0946615
0 61 -0.2616 -0.169643
1 61 -0.362331 -0.100425
0 62 0.343711 -0.15815
1 62 0.218419 -0.0854065
0 63 -0.0274947 -0.155405
1 63 -0.137319 -0.086621
0 64 -0.308627 -0.154652
1 64 -0.412169 -0.0867444
0 65 0.0201511 -0.153574
1 65 -0.0900948 -0.0844997
0 66 0.461189 -0.15361
1 66 0.320875 -0.0775561
0 67 0.333165 -0.153023
1 67 0.207965 -0.0805969
0 68 0.484767 -0.152741
1 68 0.34509 -0.0768244
0 69 0.475922 -0.146033
1 69 0.335991 -0.0714837
0 70 0.351608 -0.143684
1 70 0.228306 -0.0712048
0 71 -0.0297323 -0.137759
1 71 -0.139471 -0.0688764
0 72 0.348961 -0.137225
1 72 0.224741 -0.0654944
0 73 0.446725 -0.134455
1 73 0.310638 -0.0596604
0 74 0.508834 -0.131594
1 74 0.369798 -0.0567719
0 75 0.353698 -0.12976
1 75 0.232805 -0.0581787
0 76 0.445463 -0.127193
1 76 0.308527 -0.0527844
0 77 -0.31604 -0.124382
1 77 -0.419979 -0.0574868
0 78 0.534448 -0.122639
1 78 0.395862 -0.0479985
0 79 0.442647 -0.122856
1 79 0.306941 -0.0482769
0 80 0.333885 -0.113952
1 80 0.211534 -0.0431016
0 81 0.427653 -0.107886
1 81 0.293819 -0.0337395
0 82 0.465659 -0.107946
1 82 0.329311 -0.0345772
0 83 0.314965 -0.105811
1 83 0.195671 -0.0355541
0 84 0.445221 -0.10276
1 84 0.310225 -0.0291158
0 85 0.487652 -0.102629
1 85 0.349602 -0.0280758
0 86 0.467711 -0.101992
1 86 0.32941 -0.0284128
0 87 -0.257514 -0.100501
1 87 -0.370156 -0.0333939
0 88 -0.0366852 -0.0990776
1 88 -0.143206 -0.0336964
0 89 0.447099 -0.0970068
1 89 0.311291 -0.0240517
0 90 0.429687 -0.0956218
1 90 0.295847 -0.0228947
0 91 -0.0251094 -0.0912742
1 91 -0.130903 -0.026274
